utility_number,utility_name,saidi_with_med_minutes,predicted_uri_like_saidi_minutes,lost_revenue_estimate_usd,predicted_uri_like_lost_revenue_usd,incremental_uri_like_lost_revenue_usd
44372,Oncor Electric Delivery Company LLC,532.48,684.917181148784,4971586.848340943,6394841.590298315,1423254.7419573711
3278,AEP Texas Central Company,228.5,265.26579668153886,488919.0937024353,567586.4897321332,78667.3960296979
20404,AEP Texas North Company,108.0,253.8322099372981,48095.42465753425,113038.59193235867,64943.167274824424
40051,Texas-New Mexico Power Co,1946.11,1892.392722842298,1536578.9943873668,1494165.7496498087,-42413.24473755807
8901,CenterPoint Energy,4315.811,4100.34480975545,26241681.156097412,24931569.32211847,-1310111.8339789435
13830,Nueces Electric Cooperative,437.147,,5107.284214041096,,
